"filename", "language", "JSON", "CSV", "Markdown", "Python", "PostCSS", "JavaScript JSX", "JavaScript", "HTML", "XML", "C++", "Properties", "reStructuredText", "Makefile", "CMake", "C", "Shell Script", "pip requirements", "MS SQL", "comment", "blank", "total"
"c:\Users\dkreh\Desktop\KDT_RE_5th\2_Python\python\04_input.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 17, 64
"c:\Users\dkreh\Desktop\KDT_RE_5th\2_Python\python\05_list.py", "Python", 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 101, 45, 236
"c:\Users\dkreh\Desktop\KDT_RE_5th\2_Python\python\06_tuple.py", "Python", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 16, 88
"c:\Users\dkreh\Desktop\KDT_RE_5th\2_Python\python\07_set.py", "Python", 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 35, 164
"c:\Users\dkreh\Desktop\KDT_RE_5th\2_Python\python\08_dictionary.py", "Python", 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 33, 145
"c:\Users\dkreh\Desktop\KDT_RE_5th\2_Python\python\09_if.py", "Python", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 115, 29, 197
"c:\Users\dkreh\Desktop\KDT_RE_5th\2_Python\python\10_for.py", "Python", 0, 0, 0, 187, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 232, 78, 497
"c:\Users\dkreh\Desktop\KDT_RE_5th\2_Python\python\11_while.py", "Python", 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 247, 98, 438
"c:\Users\dkreh\Desktop\KDT_RE_5th\2_Python\python\12_function.py", "Python", 0, 0, 0, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 151, 131, 524
"c:\Users\dkreh\Desktop\KDT_RE_5th\2_Python\python\13_class.py", "Python", 0, 0, 0, 323, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 129, 532
"c:\Users\dkreh\Desktop\KDT_RE_5th\2_Python\python\14_module.py", "Python", 0, 0, 0, 137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 301, 148, 586
"c:\Users\dkreh\Desktop\KDT_RE_5th\2_Python\python\15_file.py", "Python", 0, 0, 0, 176, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 84, 333
"c:\Users\dkreh\Desktop\KDT_RE_5th\2_Python\python\16_try_except.py", "Python", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 102, 33, 189
"c:\Users\dkreh\Desktop\KDT_RE_5th\2_Python\python_study\01\first.py", "Python", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\dkreh\Desktop\KDT_RE_5th\2_Python\python_study\06\comparison_operator.py", "Python", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\dkreh\Desktop\KDT_RE_5th\2_Python\python_study\06\logical_operator.py", "Python", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\dkreh\Desktop\KDT_RE_5th\2_Python\python_study\07\if.py", "Python", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\dkreh\Desktop\KDT_RE_5th\2_Python\python_study\07\if_prob.py", "Python", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\dkreh\Desktop\KDT_RE_5th\2_Python\python_study\08\list_calc.py", "Python", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\dkreh\Desktop\KDT_RE_5th\2_Python\python_study\08\list_indexing.py", "Python", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\dkreh\Desktop\KDT_RE_5th\2_Python\python_study\08\list_slicing.py", "Python", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\dkreh\Desktop\KDT_RE_5th\2_Python\python_study\09\list_count.py", "Python", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\dkreh\Desktop\KDT_RE_5th\2_Python\python_study\09\list_func.py", "Python", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 2, 16
